Plant Name,Cost,Packets,Total Seed Price,,Material,Cost,Quantity,Total,,,
Pansy - Nature Antique Shades,$3.99,2,$7.98,,"2""x 2"" Seed Cell (36/sheet)",$2.00,8,$16.00,,2025 Total Cost for all seeds and materials WITH ONE TIME costs:,$588.31
Snapdragon - Twinny Bronze Shades,$3.99,1,$3.99,,"3""x 3"" Seed Cell (18/sheet)",$2.00,4,$8.00,,2025 Total Cost for all seeds and materials WITHOUT ONE TIME costs:,$95.09
Bacopa - Blutopia*,$6.49,1,$6.49,,Seed Tray,$2.00,12,$24.00,,,
Black-Eyed Susan Vine - Susie Mix,$3.99,1,$3.99,,Humidity Dome,$2.00,2,$4.00,,,
Geranium - Maverick Apple Blossom,$4.29,1,$4.29,,Black & Gold Seed Starter Mix,$7.99,4,$31.96,,,
Geranium - Maverick Star,$4.29,1,$4.29,,Miracle Grow Seed Starter Mix,$5.99,1,$5.99,,,
Geranium - Tornado Mix Ivy,$5.99,1,$5.99,,Mother Linear 32 Grow Light,$219.00,2,$438.00,,,
Marigold - Alumia Crème Brulee,$3.49,1,$3.49,,,,,$0.00,,,
Marigold - Strawberry Blonde,$4.49,1,$4.49,,,,,$0.00,,,
Coleus - Fairway Rose,$3.49,1,$3.49,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,,$0.00,,,,,$0.00,,,
,,Seed Price,$48.49,,,,Total,$527.95,,,
,,Shipping,$5.99,,,,Sales Tax,$5.88,,,
,,Total Seed Price,$54.48,,,,Total Material Price,$533.83,,,
* Blutopia multi-pelleted seed contains 5-6 seeds each,,,,,,,,,,,
** Average last frost: April 15th,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
